candidate,role,color,intensity,shape_size,integration,choice,control,visibility,proximity2dp,proximity2fe,proximity2be,uniqueness,wellknownness,relevance,frequency
Elevator,1,0.489618476,0.430840648,1.8,0.000243035,18208.5,3.666666667,260,0.651451755,0.856565682,0.057127091,0.5,229000000,0.03793398,4.78
H38,1,0.384161189,0.388099955,5.9,0.000166528,0,0.5,208,0.14369198,0.037105004,0.032677257,0.25,467000000,0.027069058,1
H67,1,0.725668609,0.472471765,6.3,0.000197947,62,1,187,0.056867248,0.094707738,0.093176606,1,20760000000,0.508677585,0
H79,1,0.705333228,0.200887556,14.25,0.00019206,4511,1.5,156,0.120033169,0.070183686,0.031739398,0.25,467000000,0.027069058,1.18
H92,1,0.585793131,0.310548829,14.26,0.000157218,186,0.833333333,97,0.118894277,0.023429177,0.017720575,0.25,467000000,0.027069058,1
J10,1,0.646754072,0.325887458,3.1,0.000149459,0,0.5,118,0.208531013,0.045238507,0.01012045,0.5,5690000000,0.50023753,1.58
J39,1,0.438825237,0.261463489,7.08,0.000171018,122,1,80,0.045311007,0.036971486,0.018614291,1,2310000,0,1
J41,1,0.334411782,0.241507764,3.48,0.000189938,141,1.5,80,0.053955327,0.049861278,0.019925748,0.33,3670000000,0.179443255,1.8
K13,1,0.754013649,0.543073756,5.14,0.000157477,1161,1.333333333,134,0.434524543,0.03564241,0.009603792,0.25,960000000,0.080764157,1.29
K32,1,0.421425662,0.379917958,1.93,0.000169566,4364.875,1.333333333,22,0.15620109,0.042124687,0.012041804,1,5510000000,0.264991896,2
L11,1,0.56482917,0.320543993,7.07,0.000154798,1164,1,127,0.778695112,0.036903681,0.008672082,1,3360000000,0.141645462,5.17
L12,1,0.650903102,0.318950765,2.16,0.000147105,388,0.5,114,0.413500394,0.035421119,0.008587617,1,23600000,0.00297218,1.14
L26,1,0.429379846,0.240494019,3.48,0.000161085,581,1,80,0.050634908,0.027010538,0.011055127,0.33,3670000000,0.179443255,2
L40,1,0.475638554,0.147172367,3.48,0.000179449,0,0.5,80,0.05348948,0.046438366,0.015574332,0.33,3670000000,0.179443255,1.67
WC-H,1,0.517604335,0.284725041,1.79,0.000165097,0,0.5,51,0.147654293,0.040412699,0.014352012,0.25,1010000000,0.037590474,3.33
WC-J,1,0.55112047,0.326053263,1.79,0.000170219,0,0.5,54,0.182069248,0.04821529,0.011017581,0.25,1010000000,0.037590474,6.75
WC-K,1,0.689998989,0.337745148,1.79,0.000161669,0,0.5,34,0.181839312,0.043789728,0.009272832,0.25,1010000000,0.037590474,3
WC-L,1,0.550912589,0.267328273,1.79,0.000166232,0,0.5,63,0.181928676,0.043917386,0.009550047,0.25,1010000000,0.037590474,6.82
